time_start	date_start	test_file	Pre_total_node_count	Pre_tot_phi_node_count	Pre_tot_lambda_node_count	Pre_tot_apply_node_count	Pre_tot_lambdas_inside_phis	Pre_lambdas_exported	Pre_Max_NC_for_exported_lambdas	Pre_Avg_NC_for_exported_lambdas	Pre_Min_NC_for_exported_lambdas	Pre_Max_SCC_for_exported_lambdas	Pre_Avg_SCC_for_exported_lambdas	Pre_Min_SCC_for_exported_lambdas	Pre_Max_NC	Pre_Avg_NC	Pre_Min_NC	Pre_Max_SCC	Pre_Avg_SCC	Pre_Min_SCC	Pre_Max_CIN	Pre_Avg_CIN	Pre_Min_CIN	Pre_Max_PC	Pre_Avg_PC	Pre_Min_PC	Pre_Max_CPC	Pre_Avg_CPC	Pre_Min_CPC	Pre_Max_LND	Pre_Avg_LND	Pre_Min_LND	loop_breakers_size	static_known_applies	static_known_applies_minus_loop_breakers	inlines_performed	applies_after_inlining	wall_clock_ms	Post_total_node_count	Post_tot_phi_node_count	Post_tot_lambda_node_count	Post_tot_apply_node_count	Post_tot_lambdas_inside_phis	Post_lambdas_exported	Post_Max_NC_for_exported_lambdas	Post_Avg_NC_for_exported_lambdas	Post_Min_NC_for_exported_lambdas	Post_Max_SCC_for_exported_lambdas	Post_Avg_SCC_for_exported_lambdas	Post_Min_SCC_for_exported_lambdas	Post_Max_NC	Post_Avg_NC	Post_Min_NC	Post_Max_SCC	Post_Avg_SCC	Post_Min_SCC	Post_Max_CIN	Post_Avg_CIN	Post_Min_CIN	Post_Max_PC	Post_Avg_PC	Post_Min_PC	Post_Max_CPC	Post_Avg_CPC	Post_Min_CPC	Post_Max_LND	Post_Avg_LND	Post_Min_LND	duration_secs
21:26:02	15.06.2015	gromacs/strdb.s	551	0	7	43	0	7	111	64.2857	19	111	64.2857	19	111	64.2857	19	2	1.14286	1	111	64.2857	19	5	2.30233	1	4	0.627907	0	1	0.372093	0	0	1	1	0	1	0.499547	551	0	7	43	0	7	111	64.2857	19	111	64.2857	19	111	64.2857	19	2	1.14286	1	111	64.2857	19	5	2.30233	1	4	0.627907	0	1	0.372093	0	00:00:00.061
21:26:02	15.06.2015	gromacs/princ.s	1744	0	12	32	0	6	705	114.083	5	705	114.083	5	705	114.083	5	6	1.83333	1	705	114.083	5	6	2.6875	1	5	0.3125	0	1	0.40625	0	0	16	16	14	1	77.769	1594	0	7	17	0	6	717	176.143	13	717	176.143	13	717	176.143	13	1	1	1	717	176.143	13	5	2.94118	1	5	0.588235	0	1	0.352941	0	00:00:03.3444
21:26:06	15.06.2015	gromacs/mvdata.s	2139	0	26	160	0	2	185	74.5385	14	185	74.5385	14	185	74.5385	14	3	1.23077	1	185	74.5385	14	5	3.68125	1	5	1.2875	0	2	0.15	0	0	30	30	24	1	81.0084	761	0	3	45	0	2	348	205.667	14	348	205.667	14	348	205.667	14	1	1	1	348	205.667	14	5	3.6	2	2	1.28889	0	1	0.0444444	0	00:00:00.251
21:26:06	15.06.2015	gromacs/disre.s	2702	0	7	29	0	3	752	218.571	5	752	218.571	5	752	218.571	5	2	1.28571	1	752	218.571	5	5	2.34483	1	0	0	0	2	1.03448	0	0	6	6	5	1	1236.82	2755	0	4	24	0	3	863	396.5	24	863	396.5	24	863	396.5	24	1	1	1	863	396.5	24	5	2.33333	1	0	0	0	2	0.875	0	00:00:04.4075
21:26:10	15.06.2015	gromacs/random.s	1321	0	9	19	0	6	333	101	12	333	101	12	333	101	12	3	1.77778	1	333	101	12	9	3	0	4	0.263158	0	2	0.315789	0	0	10	10	7	3	174.678	1410	0	7	12	0	6	503	142.857	12	503	142.857	12	503	142.857	12	3	1.28571	1	503	142.857	12	7	3	0	4	0.416667	0	1	0.25	0	00:00:00.466
21:26:10	15.06.2015	gromacs/calcmu.s	262	0	3	2	0	2	145	66	23	145	66	23	145	66	23	1	1	1	145	66	23	4	3	2	2	1	0	0	0	0	0	1	1	1	0	0.455363	258	0	2	1	0	2	145	97.5	50	145	97.5	50	145	97.5	50	1	1	1	145	97.5	50	4	4	4	2	2	2	0	0	0	00:00:00.041
21:26:10	15.06.2015	gromacs/pppm.s	2940	0	12	72	0	9	405	185.333	5	405	185.333	5	405	185.333	5	3	2.16667	1	405	185.333	5	16	4.48611	1	4	0.666667	0	1	0.194444	0	0	17	17	7	10	195.738	3027	0	11	65	0	9	448	210.182	38	448	210.182	38	448	210.182	38	3	1.72727	1	448	210.182	38	12	4.32308	1	4	0.738462	0	1	0.123077	0	00:00:01.1107
21:26:11	15.06.2015	gromacs/3dview.s	1609	0	16	63	0	13	215	73.125	12	215	73.125	12	215	73.125	12	10	3.25	1	215	73.125	12	5	1.85714	1	5	0.222222	0	2	0.111111	0	0	39	39	38	1	148.446	1242	0	13	30	0	13	324	68.1538	12	324	68.1538	12	324	68.1538	12	2	1.07692	1	324	68.1538	12	5	1.66667	1	5	0.3	0	2	0.166667	0	00:00:00.361
21:26:12	15.06.2015	gromacs/smalloc.s	267	1	6	18	1	5	51	37.8333	17	51	37.8333	17	51	37.8333	17	2	1.16667	1	51	37.8333	17	5	1.38889	0	3	0.333333	0	1	0.111111	0	1	2	1	1	0	0.567145	279	1	6	17	1	5	51	39.8333	17	51	39.8333	17	51	39.8333	17	1	1	1	51	39.8333	17	5	1.47059	0	3	0.352941	0	1	0.117647	0	00:00:00.027
21:26:12	15.06.2015	gromacs/mdatom.s	2031	0	3	52	0	3	963	522.333	155	963	522.333	155	963	522.333	155	1	1	1	963	522.333	155	5	4.01923	1	5	1.78846	0	1	0.115385	0	0	0	0	0	0	4.0701	2031	0	3	52	0	3	963	522.333	155	963	522.333	155	963	522.333	155	1	1	1	963	522.333	155	5	4.01923	1	5	1.78846	0	1	0.115385	0	00:00:07.7512
21:26:19	15.06.2015	gromacs/macros.s	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066632	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00:00:00.005
21:26:19	15.06.2015	gromacs/fatal.s	1020	0	20	67	0	17	356	39.8	2	356	39.8	2	356	39.8	2	8	1.65	1	356	39.8	2	5	2.23881	0	4	0.522388	0	2	0.373134	0	0	16	16	10	6	90.8593	1034	0	18	56	0	17	464	45.2778	2	464	45.2778	2	464	45.2778	2	4	1.27778	1	464	45.2778	2	5	2.125	0	4	0.589286	0	2	0.267857	0	00:00:00.390
21:26:20	15.06.2015	gromacs/pssolve.s	898	0	2	16	0	1	436	220.5	5	436	220.5	5	436	220.5	5	4	2.5	1	436	220.5	5	6	2.5625	1	1	0.125	0	4	0.375	0	0	4	4	3	1	5.32882	904	0	2	13	0	1	442	223.5	5	442	223.5	5	442	223.5	5	1	1	1	442	223.5	5	6	2.92308	1	1	0.153846	0	4	0.461538	0	00:00:00.535
21:26:20	15.06.2015	gromacs/synclib.s	12	0	1	3	0	1	6	6	6	6	6	6	6	6	6	1	1	1	6	6	6	1	1	1	1	0.666667	0	0	0	0	0	0	0	0	0	0.070549	12	0	1	3	0	1	6	6	6	6	6	6	6	6	6	1	1	1	6	6	6	1	1	1	1	0.666667	0	0	0	0	00:00:00.007
21:26:20	15.06.2015	gromacs/mvxvf.s	808	0	6	18	0	4	480	126.833	12	480	126.833	12	480	126.833	12	5	1.66667	1	480	126.833	12	10	4.61111	1	3	0.777778	0	2	0.777778	0	0	6	6	1	5	80.2464	804	0	5	17	0	4	489	151.6	34	489	151.6	34	489	151.6	34	5	1.8	1	489	151.6	34	10	4.82353	1	3	0.823529	0	2	0.705882	0	00:00:01.1063
21:26:21	15.06.2015	gromacs/f77_wrappers.s	21	0	2	2	0	2	10	8	6	10	8	6	10	8	6	1	1	1	10	8	6	2	1.5	1	0	0	0	0	0	0	0	0	0	0	0	0.049814	21	0	2	2	0	2	10	8	6	10	8	6	10	8	6	1	1	1	10	8	6	2	1.5	1	0	0	0	0	0	0	00:00:00.006
21:26:21	15.06.2015	gromacs/nrjac.s	2892	0	3	29	0	2	804	385.333	6	804	385.333	6	804	385.333	6	2	1.33333	1	804	385.333	6	5	2.89655	1	4	0.482759	0	3	1.17241	0	0	2	2	1	1	10.2262	2888	0	2	28	0	2	807	576.5	346	807	576.5	346	807	576.5	346	2	1.5	1	807	576.5	346	5	2.96429	1	4	0.5	0	3	1.21429	0	00:00:03.3289
21:26:25	15.06.2015	gromacs/mdrun.s	696	0	1	16	0	1	263	263	263	263	263	263	263	263	263	1	1	1	263	263	263	11	3.3125	0	0	0	0	1	0.0625	0	0	0	0	0	0	0.340089	696	0	1	16	0	1	263	263	263	263	263	263	263	263	263	1	1	1	263	263	263	11	3.3125	0	0	0	0	1	0.0625	0	00:00:00.195
21:26:25	15.06.2015	gromacs/rdgroup.s	1001	0	7	46	0	5	421	123.571	11	421	123.571	11	421	123.571	11	4	1.71429	1	421	123.571	11	7	3.41304	1	5	1.15217	0	2	0.630435	0	0	7	7	1	6	6.6963	997	0	6	45	0	5	421	143.667	35	421	143.667	35	421	143.667	35	4	1.83333	1	421	143.667	35	7	3.46667	1	5	1.17778	0	2	0.688889	0	00:00:00.437
21:26:25	15.06.2015	gromacs/ebin.s	679	0	6	16	0	4	184	85.3333	5	184	85.3333	5	184	85.3333	5	1	1	1	184	85.3333	5	5	2.6875	1	5	0.9375	0	2	0.75	0	0	2	2	1	1	0.902017	675	0	5	15	0	4	184	101.8	7	184	101.8	7	184	101.8	7	1	1	1	184	101.8	7	5	2.8	1	5	1	0	2	0.733333	0	00:00:00.115
21:26:25	15.06.2015	gromacs/rando.s	113	0	2	3	0	2	81	45	9	81	45	9	81	45	9	1	1	1	81	45	9	1	0.666667	0	1	0.333333	0	0	0	0	0	0	0	0	0	0.143001	113	0	2	3	0	2	81	45	9	81	45	9	81	45	9	1	1	1	81	45	9	1	0.666667	0	1	0.333333	0	0	0	0	00:00:00.013
21:26:26	15.06.2015	gromacs/dummies.s	4768	0	25	106	0	2	605	163.16	12	605	163.16	12	605	163.16	12	21	2.96	1	605	163.16	12	12	2.93396	1	4	0.0754717	0	2	0.471698	0	0	72	72	70	1	3598.16	4098	0	3	15	0	2	1759	1163.33	76	1759	1163.33	76	1759	1163.33	76	1	1	1	1759	1163.33	76	4	2.4	1	0	0	0	2	1.2	0	00:00:06.6896
21:26:32	15.06.2015	gromacs/wnblist.s	448	0	3	21	0	2	208	125	35	208	125	35	208	125	35	1	1	1	208	125	35	3	2.80952	1	1	0.142857	0	3	1.38095	0	0	1	1	1	0	17.3274	323	0	2	16	0	2	208	129	50	208	129	50	208	129	50	1	1	1	208	129	50	3	2.8125	1	1	0.0625	0	3	1.625	0	00:00:00.206
21:26:33	15.06.2015	gromacs/futil.s	933	0	18	74	0	18	127	42.2778	3	127	42.2778	3	127	42.2778	3	10	1.94444	1	127	42.2778	3	5	2.17568	1	5	0.689189	0	1	0.027027	0	0	17	17	16	3	10.8311	1121	0	18	62	0	18	146	52.7222	3	146	52.7222	3	146	52.7222	3	2	1.16667	1	146	52.7222	3	5	2.48387	1	5	0.951613	0	1	0.016129	0	00:00:00.138
21:26:33	15.06.2015	gromacs/ifunc.s	341	0	1	0	0	1	45	45	45	45	45	45	45	45	45	1	1	1	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155094	341	0	1	0	0	1	45	45	45	45	45	45	45	45	45	1	1	1	45	45	45	0	0	0	0	0	0	0	0	0	00:00:00.023
21:26:33	15.06.2015	gromacs/xvgr.s	1389	0	14	74	0	10	282	72.2857	5	282	72.2857	5	282	72.2857	5	2	1.28571	1	282	72.2857	5	5	2.63514	0	4	0.608108	0	2	0.445946	0	0	8	8	6	2	103.089	1191	0	10	48	0	10	320	82.6	15	320	82.6	15	320	82.6	15	2	1.2	1	320	82.6	15	5	2.97917	1	2	0.5625	0	2	0.541667	0	00:00:00.565
21:26:33	15.06.2015	gromacs/psgather.s	1080	0	3	10	0	2	399	274.333	62	399	274.333	62	399	274.333	62	2	1.33333	1	399	274.333	62	14	5.5	3	0	0	0	1	0.2	0	0	2	2	1	1	195.182	1076	0	2	9	0	2	458	410	362	458	410	362	458	410	362	2	1.5	1	458	410	362	14	5.44444	3	0	0	0	1	0.222222	0	00:00:00.642
21:26:34	15.06.2015	gromacs/clincs.s	3006	0	2	4	0	2	1200	938.5	677	1200	938.5	677	1200	938.5	677	1	1	1	1200	938.5	677	1	1	1	0	0	0	2	1	0	0	0	0	0	0	8.21807	3006	0	2	4	0	2	1200	938.5	677	1200	938.5	677	1200	938.5	677	1	1	1	1200	938.5	677	1	1	1	0	0	0	2	1	0	00:00:07.7159
21:26:41	15.06.2015	gromacs/xdrd.s	27	0	2	2	0	2	14	11	8	14	11	8	14	11	8	1	1	1	14	11	8	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0.038027	27	0	2	2	0	2	14	11	8	14	11	8	14	11	8	1	1	1	14	11	8	4	3	2	0	0	0	0	0	0	00:00:00.006
21:26:41	15.06.2015	gromacs/filenm.s	3026	0	26	115	0	20	505	92.5385	10	505	92.5385	10	505	92.5385	10	5	1.46154	1	505	92.5385	10	5	2.4087	1	4	0.321739	0	2	0.634783	0	0	18	18	11	0	159.609	2205	0	20	74	0	20	505	79.9	10	505	79.9	10	505	79.9	10	1	1	1	505	79.9	10	5	2.47297	1	4	0.22973	0	2	0.77027	0	00:00:01.1177
21:26:42	15.06.2015	gromacs/innerc.s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00:00:00.005
21:26:42	15.06.2015	gromacs/ghat.s	1783	0	10	46	0	5	291	123.2	5	291	123.2	5	291	123.2	5	3	1.7	1	291	123.2	5	19	3.02174	1	3	0.369565	0	3	1.02174	0	0	12	12	10	2	90.6169	1821	0	6	36	0	5	302	215.333	26	302	215.333	26	302	215.333	26	2	1.16667	1	302	215.333	26	19	2.97222	1	3	0.472222	0	3	0.888889	0	00:00:00.633
21:26:43	15.06.2015	gromacs/mshift.s	4504	0	20	62	0	10	317	179.35	23	317	179.35	23	317	179.35	23	4	1.3	1	317	179.35	23	8	3.16129	1	5	0.725806	0	2	0.370968	0	0	16	16	14	1	553.6	3297	0	11	42	0	10	328	224.818	40	328	224.818	40	328	224.818	40	1	1	1	328	224.818	40	5	2.88095	1	5	1.07143	0	2	0.166667	0	00:00:02.2192
21:26:45	15.06.2015	gromacs/atomprop.s	875	0	8	39	0	3	257	86.5	49	257	86.5	49	257	86.5	49	4	2.25	1	257	86.5	49	6	3.02564	0	4	0.384615	0	1	0.307692	0	0	15	15	6	9	12.7998	926	0	6	34	0	3	321	125.167	62	321	125.167	62	321	125.167	62	3	2	1	321	125.167	62	6	2.94118	0	4	0.441176	0	1	0.294118	0	00:00:00.180
21:26:45	15.06.2015	gromacs/xtcio.s	451	0	10	29	0	7	86	37.3	5	86	37.3	5	86	37.3	5	6	2	1	86	37.3	5	6	3.17241	1	4	0.689655	0	2	0.137931	0	0	13	13	6	7	2.1376	507	0	9	22	0	7	104	47.7778	5	104	47.7778	5	104	47.7778	5	3	1.55556	1	104	47.7778	5	6	3.22727	1	4	0.409091	0	2	0.181818	0	00:00:00.040
21:26:45	15.06.2015	gromacs/pbc.s	4616	0	23	62	0	15	530	137.435	5	530	137.435	5	530	137.435	5	10	2.56522	1	530	137.435	5	5	1.82258	1	3	0.129032	0	3	0.370968	0	0	44	44	40	4	4077.28	5154	0	16	22	0	15	539	231.625	23	539	231.625	23	539	231.625	23	3	1.1875	1	539	231.625	23	5	1.77273	1	3	0.318182	0	3	0.272727	0	00:00:07.7004
21:26:52	15.06.2015	gromacs/coupling.s	5197	0	13	30	0	6	856	260.846	19	856	260.846	19	856	260.846	19	2	1.23077	1	856	260.846	19	5	2.83333	1	4	0.2	0	2	0.133333	0	0	10	10	9	1	27508.8	5500	0	7	20	0	6	2258	529.429	19	2258	529.429	19	2258	529.429	19	1	1	1	2258	529.429	19	5	3.1	1	4	0.2	0	2	0.2	0	00:00:37.37507
21:27:30	15.06.2015	gromacs/tables.s	7944	0	8	53	0	1	747	271.375	31	747	271.375	31	747	271.375	31	2	1.125	1	747	271.375	31	8	2.86792	0	5	0.660377	0	3	0.566038	0	0	8	8	6	1	1068.96	1216	0	2	15	0	1	740	421.5	103	740	421.5	103	740	421.5	103	1	1	1	740	421.5	103	7	3.66667	0	5	1.13333	0	3	0.733333	0	00:00:06.6400
21:27:36	15.06.2015	gromacs/ffscanf.s	324	0	2	10	0	1	227	133.5	40	227	133.5	40	227	133.5	40	1	1	1	227	133.5	40	3	1.9	0	0	0	0	2	0.9	0	0	1	1	1	0	3.5497	299	0	1	9	0	1	246	246	246	246	246	246	246	246	246	1	1	1	246	246	246	3	2	0	0	0	0	2	1	0	00:00:00.109
21:27:36	15.06.2015	gromacs/replace.s	556	0	2	18	0	2	289	261	233	289	261	233	289	261	233	1	1	1	289	261	233	5	1.55556	0	4	0.444444	0	1	0.333333	0	0	0	0	0	0	1.73597	556	0	2	18	0	2	289	261	233	289	261	233	289	261	233	1	1	1	289	261	233	5	1.55556	0	4	0.444444	0	1	0.333333	0	00:00:00.385
21:27:37	15.06.2015	gromacs/network.s	296	0	24	18	0	24	23	8.58333	2	23	8.58333	2	23	8.58333	2	1	1	1	23	8.58333	2	3	3	3	2	1.94444	1	0	0	0	0	0	0	0	0	0.151765	296	0	24	18	0	24	23	8.58333	2	23	8.58333	2	23	8.58333	2	1	1	1	23	8.58333	2	3	3	3	2	1.94444	1	0	0	0	00:00:00.018
21:27:37	15.06.2015	gromacs/index.s	2564	0	12	88	0	6	767	182.583	15	767	182.583	15	767	182.583	15	10	2.41667	1	767	182.583	15	6	3.34091	0	5	0.511364	0	4	0.829545	0	0	23	23	18	2	4156.57	908	0	6	23	0	6	208	98.8333	15	208	98.8333	15	208	98.8333	15	3	1.33333	1	208	98.8333	15	5	3.52174	1	5	1.47826	0	2	0.391304	0	00:00:09.9539
21:27:46	15.06.2015	gromacs/block_tx.s	315	0	4	19	0	4	80	67.75	57	80	67.75	57	80	67.75	57	6	3.5	1	80	67.75	57	5	3.73684	3	4	1.47368	0	1	0.263158	0	0	10	10	0	10	0.20666	315	0	4	19	0	4	80	67.75	57	80	67.75	57	80	67.75	57	6	3.5	1	80	67.75	57	5	3.73684	3	4	1.47368	0	1	0.263158	0	00:00:00.022
